Jurisdiction,LGA,Year,Total Early Payment,Total Financial Assistance Grant (inc Early Payment),,,
New South Wales,Coffs Harbour City Council,2018-19,"$3,767,276","$7,461,029",,,
New South Wales,Coffs Harbour City Council,2019-20,"$3,830,286","$7,587,263",,,
New South Wales,Coffs Harbour City Council,2020-21,"$3,981,914","$7,647,409",,,
New South Wales,Coffs Harbour City Council,2021-22,"$3,925,268","$7,972,701",,,
New South Wales,Coffs Harbour City Council,2022-23,"$6,223,126","$8,415,575",,,
New South Wales,Coffs Harbour City Council,2023-24,"$8,995,594","$9,399,789",,,
New South Wales,Coolamon Shire Council,2017-18,"$1,683,001","$3,403,506",,,
New South Wales,Coolamon Shire Council,2018-19,"$1,766,160","$3,603,979",,,
New South Wales,Coolamon Shire Council,2019-20,"$1,905,806","$3,746,324",,,
New South Wales,Coolamon Shire Council,2020-21,"$1,950,938","$3,877,416",,,
New South Wales,Coolamon Shire Council,2021-22,"$2,063,337","$4,117,999",,,
New South Wales,Coolamon Shire Council,2022-23,"$3,159,565","$4,453,349",,,
New South Wales,Coolamon Shire Council,2023-24,"$4,762,788","$5,016,146",,,
New South Wales,Coonamble Shire Council,2017-18,"$1,841,914","$3,722,128",,,
New South Wales,Coonamble Shire Council,2018-19,"$1,931,436","$3,999,918",,,
New South Wales,Coonamble Shire Council,2019-20,"$2,145,046","$4,210,577",,,
New South Wales,Coonamble Shire Council,2020-21,"$2,189,601","$4,339,102",,,
New South Wales,Coonamble Shire Council,2021-22,"$2,302,138","$4,659,780",,,
New South Wales,Coonamble Shire Council,2022-23,"$3,625,757","$5,091,551",,,
New South Wales,Coonamble Shire Council,2023-24,"$5,446,486","$5,996,921",,,
New South Wales,Cootamundra-Gundagai Regional Council,2017-18,"$2,422,943","$4,897,416",,,
New South Wales,Cootamundra-Gundagai Regional Council,2018-19,"$2,541,478","$5,155,405",,,
New South Wales,Cootamundra-Gundagai Regional Council,2019-20,"$2,710,541","$5,353,486",,,
New South Wales,Cootamundra-Gundagai Regional Council,2020-21,"$2,801,219","$5,417,840",,,
New South Wales,Cootamundra-Gundagai Regional Council,2021-22,"$2,801,975","$5,721,195",,,
New South Wales,Cootamundra-Gundagai Regional Council,2022-23,"$4,488,347","$6,167,773",,,
New South Wales,Cootamundra-Gundagai Regional Council,2023-24,"$6,595,595","$6,941,293",,,
New South Wales,Council of the City of Broken Hill,2017-18,"$2,172,499","$4,387,884",,,
New South Wales,Council of the City of Broken Hill,2018-19,"$2,277,481","$4,688,101",,,
New South Wales,Council of the City of Broken Hill,2019-20,"$2,499,275","$4,947,406",,,
New South Wales,Council of the City of Broken Hill,2020-21,"$2,593,322","$5,059,667",,,
New South Wales,Council of the City of Broken Hill,2021-22,"$2,639,105","$5,426,736",,,
New South Wales,Council of the City of Broken Hill,2022-23,"$4,282,050","$5,952,858",,,
New South Wales,Council of the City of Broken Hill,2023-24,"$6,366,671","$6,831,077",,,
New South Wales,Council of the City of Ryde,2017-18,"$1,658,068","$3,326,967",,,
New South Wales,Council of the City of Ryde,2018-19,"$1,726,589","$3,529,841",,,
New South Wales,Council of the City of Ryde,2019-20,"$1,869,844","$3,626,457",,,
New South Wales,Council of the City of Ryde,2020-21,"$1,861,633","$3,724,540",,,
New South Wales,Council of the City of Ryde,2021-22,"$1,994,586","$3,938,154",,,
New South Wales,Council of the City of Ryde,2022-23,"$2,987,806","$4,177,359",,,
New South Wales,Council of the City of Ryde,2023-24,"$4,465,440","$4,630,032",,,
New South Wales,Council of the City of Shellharbour,2017-18,"$2,502,400","$5,059,814",,,
New South Wales,Council of the City of Shellharbour,2018-19,"$2,626,096","$5,176,572",,,
New South Wales,Council of the City of Shellharbour,2019-20,"$2,644,460","$5,270,258",,,
New South Wales,Council of the City of Shellharbour,2020-21,"$2,782,129","$5,318,223",,,
New South Wales,Council of the City of Shellharbour,2021-22,"$2,714,655","$5,504,980",,,
New South Wales,Council of the City of Shellharbour,2022-23,"$4,287,794","$5,823,012",,,
New South Wales,Council of the City of Shellharbour,2023-24,"$6,224,227","$6,561,142",,,
New South Wales,Council of the Municipality of Woollahra,2017-18,"$828,174","$1,646,303",,,
New South Wales,Council of the Municipality of Woollahra,2018-19,"$854,399","$1,658,519",,,
New South Wales,Council of the Municipality of Woollahra,2019-20,"$833,817","$1,674,815",,,
