Jurisdiction,LGA,Year,Total Early Payment,Total Financial Assistance Grant (inc Early Payment),,,
Western Australia,City of Kwinana,2018-19,"$803,423","$1,659,183",,,
Western Australia,City of Kwinana,2019-20,"$945,794","$1,705,138",,,
Western Australia,City of Kwinana,2020-21,"$860,609","$1,756,064",,,
Western Australia,City of Kwinana,2021-22,"$1,032,758","$1,876,675",,,
Western Australia,City of Kwinana,2022-23,"$1,393,394","$2,087,985",,,
Western Australia,City of Kwinana,2023-24,"$2,226,656","$2,328,337",,,
Western Australia,City of Mandurah,2017-18,"$1,565,839","$3,202,209",,,
Western Australia,City of Mandurah,2018-19,"$1,586,801","$3,068,479",,,
Western Australia,City of Mandurah,2019-20,"$1,629,430","$3,135,615",,,
Western Australia,City of Mandurah,2020-21,"$1,696,217","$3,175,806",,,
Western Australia,City of Mandurah,2021-22,"$1,697,625","$3,361,196",,,
Western Australia,City of Mandurah,2022-23,"$2,739,113","$3,708,988",,,
Western Australia,City of Mandurah,2023-24,"$3,953,055","$4,200,948",,,
Western Australia,City of Melville,2017-18,"$1,694,616","$3,146,629",,,
Western Australia,City of Melville,2018-19,"$1,687,139","$3,235,260",,,
Western Australia,City of Melville,2019-20,"$1,679,964","$3,264,001",,,
Western Australia,City of Melville,2020-21,"$1,757,967","$3,287,733",,,
Western Australia,City of Melville,2021-22,"$1,732,664","$3,462,074",,,
Western Australia,City of Melville,2022-23,"$2,814,083","$3,797,558",,,
Western Australia,City of Melville,2023-24,"$4,044,203","$4,226,531",,,
Western Australia,City of Nedlands,2017-18,"$396,470","$734,773",,,
Western Australia,City of Nedlands,2018-19,"$395,032","$757,972",,,
Western Australia,City of Nedlands,2019-20,"$395,928","$767,210",,,
Western Australia,City of Nedlands,2020-21,"$415,196","$772,828",,,
Western Australia,City of Nedlands,2021-22,"$407,095","$817,755",,,
Western Australia,City of Nedlands,2022-23,"$673,297","$890,589",,,
Western Australia,City of Nedlands,2023-24,"$948,265","$991,137",,,
Western Australia,City of Perth,2017-18,"$505,259","$919,995",,,
Western Australia,City of Perth,2018-19,"$497,209","$1,025,155",,,
Western Australia,City of Perth,2019-20,"$579,091","$1,043,437",,,
Western Australia,City of Perth,2020-21,"$526,915","$1,070,633",,,
Western Australia,City of Perth,2021-22,"$620,875","$1,169,002",,,
Western Australia,City of Perth,2022-23,"$904,799","$1,191,158",,,
Western Australia,City of Perth,2023-24,"$1,265,715","$1,310,808",,,
Western Australia,City of Rockingham,2017-18,"$2,361,755","$4,506,345",,,
Western Australia,City of Rockingham,2018-19,"$2,427,376","$4,786,796",,,
Western Australia,City of Rockingham,2019-20,"$2,596,704","$4,878,379",,,
Western Australia,City of Rockingham,2020-21,"$2,563,914","$4,950,737",,,
Western Australia,City of Rockingham,2021-22,"$2,741,128","$5,317,077",,,
Western Australia,City of Rockingham,2022-23,"$4,241,038","$5,880,416",,,
Western Australia,City of Rockingham,2023-24,"$6,268,001","$6,550,565",,,
Western Australia,City of South Perth,2017-18,"$699,885","$1,305,526",,,
Western Australia,City of South Perth,2018-19,"$698,437","$1,326,787",,,
Western Australia,City of South Perth,2019-20,"$678,621","$1,325,200",,,
Western Australia,City of South Perth,2020-21,"$712,802","$1,334,829",,,
Western Australia,City of South Perth,2021-22,"$701,318","$1,402,738",,,
Western Australia,City of South Perth,2022-23,"$1,135,110","$1,531,766",,,
Western Australia,City of South Perth,2023-24,"$1,630,522","$1,704,017",,,
Western Australia,City of Stirling,2017-18,"$3,524,640","$6,570,845",,,
Western Australia,City of Stirling,2018-19,"$3,518,731","$6,759,285",,,
Western Australia,City of Stirling,2019-20,"$3,504,442","$6,819,846",,,
Western Australia,City of Stirling,2020-21,"$3,664,853","$6,869,115",,,
Western Australia,City of Stirling,2021-22,"$3,616,842","$7,235,673",,,
Western Australia,City of Stirling,2022-23,"$5,869,429","$7,938,285",,,
Western Australia,City of Stirling,2023-24,"$8,452,890","$8,939,285",,,
Western Australia,City of Subiaco,2017-18,"$283,168","$532,466",,,
Western Australia,City of Subiaco,2018-19,"$285,569","$550,311",,,
Western Australia,City of Subiaco,2019-20,"$287,404","$552,654",,,
Western Australia,City of Subiaco,2020-21,"$294,832","$557,822",,,
Western Australia,City of Subiaco,2021-22,"$297,908","$589,821",,,
Western Australia,City of Subiaco,2022-23,"$475,927","$638,874",,,
Western Australia,City of Subiaco,2023-24,"$679,970","$713,598",,,
Western Australia,City of Swan,2017-18,"$2,721,670","$5,517,407",,,
Western Australia,City of Swan,2018-19,"$2,812,877","$6,029,422",,,
Western Australia,City of Swan,2019-20,"$3,050,321","$6,240,000",,,
Western Australia,City of Swan,2020-21,"$2,993,425","$5,821,770",,,
Western Australia,City of Swan,2021-22,"$3,225,242","$7,844,319",,,
Western Australia,City of Swan,2022-23,"$4,986,245","$7,541,818",,,
Western Australia,City of Swan,2023-24,"$8,102,952","$8,479,402",,,
Western Australia,City of Vincent,2017-18,"$583,015","$1,094,501",,,
Western Australia,City of Vincent,2018-19,"$586,060","$1,108,421",,,
Western Australia,City of Vincent,2019-20,"$566,063","$1,128,871",,,
Western Australia,City of Vincent,2020-21,"$622,327","$1,142,879",,,
Western Australia,City of Vincent,2021-22,"$588,417","$1,211,176",,,
Western Australia,City of Vincent,2022-23,"$1,009,941","$1,324,807",,,
Western Australia,City of Vincent,2023-24,"$1,410,464","$1,474,310",,,
Western Australia,City of Wanneroo,2017-18,"$3,446,111","$6,684,086",,,
Western Australia,City of Wanneroo,2018-19,"$3,599,745","$7,197,812",,,
Western Australia,City of Wanneroo,2019-20,"$3,951,608","$7,375,024",,,
Western Australia,City of Wanneroo,2020-21,"$3,848,292","$7,500,733",,,
Western Australia,City of Wanneroo,2021-22,"$4,183,902","$7,895,256",,,
Western Australia,City of Wanneroo,2022-23,"$6,088,751","$8,927,452",,,
Western Australia,City of Wanneroo,2023-24,"$9,522,118","$9,948,668",,,
Western Australia,Shire of Ashburton,2017-18,"$2,350,280","$4,194,186",,,
Western Australia,Shire of Ashburton,2018-19,"$2,239,337","$3,917,274",,,
Western Australia,Shire of Ashburton,2019-20,"$1,812,327","$3,784,627",,,
Western Australia,Shire of Ashburton,2020-21,"$2,153,923","$3,789,397",,,
Western Australia,Shire of Ashburton,2021-22,"$1,842,067","$3,666,175",,,
Western Australia,Shire of Ashburton,2022-23,"$2,963,293","$3,467,956",,,
Western Australia,Shire of Ashburton,2023-24,"$3,664,115","$3,808,996",,,
Western Australia,Shire of Augusta Margaret River,2017-18,"$677,329","$1,359,854",,,
Western Australia,Shire of Augusta Margaret River,2018-19,"$694,516","$1,338,049",,,
Western Australia,Shire of Augusta Margaret River,2019-20,"$745,739","$1,746,433",,,
Western Australia,Shire of Augusta Margaret River,2020-21,"$742,349","$1,814,996",,,
Western Australia,Shire of Augusta Margaret River,2021-22,"$788,480","$1,626,146",,,
Western Australia,Shire of Augusta Margaret River,2022-23,"$1,420,096","$1,784,801",,,
Western Australia,Shire of Augusta Margaret River,2023-24,"$1,904,291","$1,995,090",,,
Western Australia,Shire of Beverley,2017-18,"$679,266","$1,360,417",,,
Western Australia,Shire of Beverley,2018-19,"$680,930","$1,438,511",,,
Western Australia,Shire of Beverley,2019-20,"$678,892","$1,287,877",,,
Western Australia,Shire of Beverley,2020-21,"$680,470","$1,297,273",,,
Western Australia,Shire of Beverley,2021-22,"$700,832","$1,461,510",,,
Western Australia,Shire of Beverley,2022-23,"$1,008,421","$1,346,984",,,
Western Australia,Shire of Beverley,2023-24,"$1,429,193","$1,494,700",,,
Western Australia,Shire of Boddington,2017-18,"$186,106","$514,915",,,
Western Australia,Shire of Boddington,2018-19,"$178,670","$417,470",,,
Western Australia,Shire of Boddington,2019-20,"$161,824","$304,994",,,
Western Australia,Shire of Boddington,2020-21,"$168,694","$307,407",,,
Western Australia,Shire of Boddington,2021-22,"$166,640","$712,690",,,
Western Australia,Shire of Boddington,2022-23,"$248,372","$322,214",,,
Western Australia,Shire of Boddington,2023-24,"$342,818","$359,587",,,
Western Australia,Shire of Boyup Brook,2017-18,"$609,312","$1,184,157",,,
Western Australia,Shire of Boyup Brook,2018-19,"$641,600","$1,511,705",,,
Western Australia,Shire of Boyup Brook,2019-20,"$832,330","$2,119,768",,,
Western Australia,Shire of Boyup Brook,2020-21,"$740,392","$1,749,705",,,
Western Australia,Shire of Boyup Brook,2021-22,"$865,569","$1,590,330",,,
Western Australia,Shire of Boyup Brook,2022-23,"$1,206,369","$1,724,978",,,
Western Australia,Shire of Boyup Brook,2023-24,"$3,169,021","$3,252,683",,,
Western Australia,Shire of Bridgetown Greenbushes,2017-18,"$987,131","$2,114,273",,,
Western Australia,Shire of Bridgetown Greenbushes,2018-19,"$981,791","$1,882,396",,,
Western Australia,Shire of Bridgetown Greenbushes,2019-20,"$978,654","$2,504,071",,,
Western Australia,Shire of Bridgetown Greenbushes,2020-21,"$955,277","$1,852,416",,,
Western Australia,Shire of Bridgetown Greenbushes,2021-22,"$1,017,877","$2,117,115",,,
Western Australia,Shire of Bridgetown Greenbushes,2022-23,"$1,412,481","$1,897,953",,,
Western Australia,Shire of Bridgetown Greenbushes,2023-24,"$2,011,965","$2,103,507",,,
Western Australia,Shire of Brookton,2017-18,"$495,866","$941,140",,,
Western Australia,Shire of Brookton,2018-19,"$504,598","$1,039,116",,,
Western Australia,Shire of Brookton,2019-20,"$525,335","$1,031,621",,,
Western Australia,Shire of Brookton,2020-21,"$561,365","$1,040,327",,,
Western Australia,Shire of Brookton,2021-22,"$542,161","$1,145,813",,,
Western Australia,Shire of Brookton,2022-23,"$979,740","$1,287,399",,,
Western Australia,Shire of Brookton,2023-24,"$1,372,728","$1,433,759",,,
Western Australia,Shire of Broome,2017-18,"$1,485,897","$2,768,451",,,
Western Australia,Shire of Broome,2018-19,"$1,438,384","$2,865,163",,,
Western Australia,Shire of Broome,2019-20,"$1,507,238","$2,786,322",,,
Western Australia,Shire of Broome,2020-21,"$1,382,467","$2,774,697",,,
Western Australia,Shire of Broome,2021-22,"$1,576,148","$2,544,815",,,
Western Australia,Shire of Broome,2022-23,"$1,537,480","$2,496,613",,,
Western Australia,Shire of Broome,2023-24,"$2,643,234","$2,781,315",,,
Western Australia,Shire of Broomehill-Tambellup,2017-18,"$938,541","$2,364,979",,,
Western Australia,Shire of Broomehill-Tambellup,2018-19,"$945,279","$1,814,760",,,
Western Australia,Shire of Broomehill-Tambellup,2019-20,"$944,372","$1,800,262",,,
Western Australia,Shire of Broomehill-Tambellup,2020-21,"$954,802","$2,293,291",,,
Western Australia,Shire of Broomehill-Tambellup,2021-22,"$972,768","$1,841,950",,,
Western Australia,Shire of Broomehill-Tambellup,2022-23,"$1,428,208","$1,915,980",,,
Western Australia,Shire of Broomehill-Tambellup,2023-24,"$2,034,567","$2,126,383",,,
Western Australia,Shire of Bruce Rock,2017-18,"$1,193,856","$2,269,119",,,
Western Australia,Shire of Bruce Rock,2018-19,"$1,214,661","$2,511,974",,,
Western Australia,Shire of Bruce Rock,2019-20,"$1,260,574","$2,551,787",,,
Western Australia,Shire of Bruce Rock,2020-21,"$1,379,485","$2,646,937",,,
Western Australia,Shire of Bruce Rock,2021-22,"$1,284,927","$2,686,659",,,
Western Australia,Shire of Bruce Rock,2022-23,"$2,060,976","$2,943,192",,,
Western Australia,Shire of Bruce Rock,2023-24,"$3,072,193","$3,202,449",,,
Western Australia,Shire of Capel,2017-18,"$835,537","$1,612,042",,,
Western Australia,Shire of Capel,2018-19,"$865,299","$1,698,037",,,
Western Australia,Shire of Capel,2019-20,"$905,744","$1,781,344",,,
Western Australia,Shire of Capel,2020-21,"$973,692","$1,998,889",,,
Western Australia,Shire of Capel,2021-22,"$966,415","$2,400,634",,,
Western Australia,Shire of Capel,2022-23,"$1,882,028","$2,437,294",,,
Western Australia,Shire of Capel,2023-24,"$2,600,902","$2,716,406",,,
Western Australia,Shire of Carnamah,2017-18,"$656,419","$1,316,473",,,
Western Australia,Shire of Carnamah,2018-19,"$659,056","$1,285,167",,,
Western Australia,Shire of Carnamah,2019-20,"$675,023","$1,420,429",,,
Western Australia,Shire of Carnamah,2020-21,"$718,403","$1,338,021",,,
Western Australia,Shire of Carnamah,2021-22,"$697,375","$1,500,016",,,
Western Australia,Shire of Carnamah,2022-23,"$1,311,346","$1,682,309",,,
Western Australia,Shire of Carnamah,2023-24,"$1,793,688","$1,869,878",,,
Western Australia,Shire of Carnarvon,2017-18,"$2,560,095","$4,847,323",,,
Western Australia,Shire of Carnarvon,2018-19,"$2,584,826","$4,987,018",,,
Western Australia,Shire of Carnarvon,2019-20,"$2,567,995","$4,936,729",,,
Western Australia,Shire of Carnarvon,2020-21,"$2,601,139","$4,969,939",,,
Western Australia,Shire of Carnarvon,2021-22,"$2,640,200","$5,078,727",,,
Western Australia,Shire of Carnarvon,2022-23,"$3,945,473","$5,660,887",,,
Western Australia,Shire of Carnarvon,2023-24,"$6,029,964","$6,292,688",,,
Western Australia,Shire of Chapman Valley,2017-18,"$447,782","$852,894",,,
Western Australia,Shire of Chapman Valley,2018-19,"$463,720","$893,971",,,
Western Australia,Shire of Chapman Valley,2019-20,"$484,277","$977,420",,,
Western Australia,Shire of Chapman Valley,2020-21,"$563,372","$1,007,890",,,
Western Australia,Shire of Chapman Valley,2021-22,"$521,769","$1,101,912",,,
Western Australia,Shire of Chapman Valley,2022-23,"$963,449","$1,375,586",,,
Western Australia,Shire of Chapman Valley,2023-24,"$1,296,195","$1,355,470",,,
Western Australia,Shire of Chittering,2017-18,"$615,988","$1,180,085",,,
Western Australia,Shire of Chittering,2018-19,"$633,126","$1,257,432",,,
Western Australia,Shire of Chittering,2019-20,"$680,103","$1,505,617",,,
Western Australia,Shire of Chittering,2020-21,"$705,259","$1,892,018",,,
Western Australia,Shire of Chittering,2021-22,"$711,564","$1,483,778",,,
Western Australia,Shire of Chittering,2022-23,"$1,248,498","$1,889,502",,,
Western Australia,Shire of Chittering,2023-24,"$1,818,467","$1,899,964",,,
Western Australia,Shire of Collie,2017-18,"$873,994","$1,738,106",,,
Western Australia,Shire of Collie,2018-19,"$869,747","$2,257,272",,,
Western Australia,Shire of Collie,2019-20,"$864,997","$1,739,840",,,
Western Australia,Shire of Collie,2020-21,"$859,843","$1,981,916",,,
Western Australia,Shire of Collie,2021-22,"$922,308","$1,748,261",,,
Western Australia,Shire of Collie,2022-23,"$1,336,112","$1,964,776",,,
Western Australia,Shire of Collie,2023-24,"$2,094,895","$2,188,017",,,
Western Australia,Shire of Coolgardie,2017-18,"$550,876","$1,020,121",,,
Western Australia,Shire of Coolgardie,2018-19,"$551,937","$1,049,587",,,
Western Australia,Shire of Coolgardie,2019-20,"$553,021","$1,052,541",,,
Western Australia,Shire of Coolgardie,2020-21,"$569,294","$1,060,378",,,
Western Australia,Shire of Coolgardie,2021-22,"$569,755","$1,125,347",,,
Western Australia,Shire of Coolgardie,2022-23,"$923,536","$1,254,063",,,
Western Australia,Shire of Coolgardie,2023-24,"$1,337,687","$1,399,229",,,
Western Australia,Shire of Coorow,2017-18,"$726,381","$1,379,959",,,
Western Australia,Shire of Coorow,2018-19,"$741,342","$1,455,829",,,
Western Australia,Shire of Coorow,2019-20,"$778,476","$1,658,353",,,
Western Australia,Shire of Coorow,2020-21,"$970,859","$1,708,860",,,
Western Australia,Shire of Coorow,2021-22,"$837,025","$2,036,114",,,
Western Australia,Shire of Coorow,2022-23,"$1,885,659","$2,265,939",,,
Western Australia,Shire of Coorow,2023-24,"$2,415,953","$2,523,711",,,
Western Australia,Shire of Corrigin,2017-18,"$915,267","$1,733,816",,,
Western Australia,Shire of Corrigin,2018-19,"$931,278","$1,820,056",,,
Western Australia,Shire of Corrigin,2019-20,"$968,082","$1,891,307",,,
Western Australia,Shire of Corrigin,2020-21,"$1,028,266","$1,904,585",,,
Western Australia,Shire of Corrigin,2021-22,"$996,250","$2,018,151",,,
Western Australia,Shire of Corrigin,2022-23,"$1,667,172","$2,212,114",,,
Western Australia,Shire of Corrigin,2023-24,"$2,355,951","$2,462,499",,,
Western Australia,Shire of Cranbrook,2017-18,"$684,833","$1,309,383",,,
Western Australia,Shire of Cranbrook,2018-19,"$706,849","$1,903,996",,,
Western Australia,Shire of Cranbrook,2019-20,"$738,710","$1,738,706",,,
Western Australia,Shire of Cranbrook,2020-21,"$823,626","$1,479,172",,,
Western Australia,Shire of Cranbrook,2021-22,"$755,706","$1,633,933",,,
Western Australia,Shire of Cranbrook,2022-23,"$1,441,940","$1,820,839",,,
Western Australia,Shire of Cranbrook,2023-24,"$1,941,662","$2,029,699",,,
Western Australia,Shire of Cuballing,2017-18,"$466,848","$874,543",,,
Western Australia,Shire of Cuballing,2018-19,"$469,457","$901,063",,,
Western Australia,Shire of Cuballing,2019-20,"$470,214","$891,683",,,
Western Australia,Shire of Cuballing,2020-21,"$471,286","$899,730",,,
Western Australia,Shire of Cuballing,2021-22,"$487,288","$914,845",,,
Western Australia,Shire of Cuballing,2022-23,"$703,766","$978,130",,,
Western Australia,Shire of Cuballing,2023-24,"$1,040,456","$1,087,511",,,
Western Australia,Shire of Cue,2017-18,"$896,336","$1,720,094",,,
Western Australia,Shire of Cue,2018-19,"$915,679","$1,857,643",,,
Western Australia,Shire of Cue,2019-20,"$1,009,662","$1,925,806",,,
Western Australia,Shire of Cue,2020-21,"$996,712","$1,963,701",,,
Western Australia,Shire of Cue,2021-22,"$1,086,770","$2,080,714",,,
Western Australia,Shire of Cue,2022-23,"$1,587,167","$2,342,828",,,
Western Australia,Shire of Cue,2023-24,"$2,497,516","$2,606,979",,,
Western Australia,Shire of Cunderdin,2017-18,"$728,585","$1,361,171",,,
Western Australia,Shire of Cunderdin,2018-19,"$730,598","$1,409,454",,,
Western Australia,Shire of Cunderdin,2019-20,"$739,977","$1,390,186",,,
Western Australia,Shire of Cunderdin,2020-21,"$726,120","$1,400,329",,,
Western Australia,Shire of Cunderdin,2021-22,"$767,257","$1,485,677",,,
Western Australia,Shire of Cunderdin,2022-23,"$1,174,054","$1,665,316",,,
Western Australia,Shire of Cunderdin,2023-24,"$1,775,944","$1,856,412",,,
Western Australia,Shire of Dalwallinu,2017-18,"$1,358,405","$2,575,932",,,
Western Australia,Shire of Dalwallinu,2018-19,"$1,386,996","$2,708,733",,,
Western Australia,Shire of Dalwallinu,2019-20,"$1,449,872","$2,830,900",,,
Western Australia,Shire of Dalwallinu,2020-21,"$1,549,761","$2,856,181",,,
Western Australia,Shire of Dalwallinu,2021-22,"$1,496,411","$3,138,059",,,
Western Australia,Shire of Dalwallinu,2022-23,"$2,687,145","$3,512,751",,,
Western Australia,Shire of Dalwallinu,2023-24,"$3,746,171","$3,915,012",,,
Western Australia,Shire of Dandaragan,2017-18,"$851,605","$1,573,394",,,
Western Australia,Shire of Dandaragan,2018-19,"$853,824","$1,618,939",,,
Western Australia,Shire of Dandaragan,2019-20,"$856,960","$2,139,456",,,
Western Australia,Shire of Dandaragan,2020-21,"$1,037,304","$1,757,776",,,
Western Australia,Shire of Dandaragan,2021-22,"$839,207","$1,879,397",,,
Western Australia,Shire of Dandaragan,2022-23,"$1,764,990","$2,119,994",,,
Western Australia,Shire of Dandaragan,2023-24,"$2,263,838","$2,343,733",,,
Western Australia,Shire of Dardanup,2017-18,"$722,710","$2,135,193",,,
Western Australia,Shire of Dardanup,2018-19,"$727,002","$1,393,985",,,
Western Australia,Shire of Dardanup,2019-20,"$725,108","$1,442,976",,,
Western Australia,Shire of Dardanup,2020-21,"$796,356","$2,003,533",,,
Western Australia,Shire of Dardanup,2021-22,"$776,085","$2,140,651",,,
Western Australia,Shire of Dardanup,2022-23,"$1,172,750","$1,570,295",,,
Western Australia,Shire of Dardanup,2023-24,"$1,854,065","$1,927,852",,,
Western Australia,Shire of Denmark,2017-18,"$564,986","$1,044,450",,,
Western Australia,Shire of Denmark,2018-19,"$563,854","$1,379,977",,,
Western Australia,Shire of Denmark,2019-20,"$570,460","$1,546,872",,,
Western Australia,Shire of Denmark,2020-21,"$562,576","$1,695,110",,,
Western Australia,Shire of Denmark,2021-22,"$591,799","$1,093,812",,,
Western Australia,Shire of Denmark,2022-23,"$834,718","$1,128,093",,,
Western Australia,Shire of Denmark,2023-24,"$1,198,049","$1,254,053",,,
Western Australia,Shire of Derby-West Kimberley,2017-18,"$2,702,407","$5,361,156",,,
Western Australia,Shire of Derby-West Kimberley,2018-19,"$2,705,127","$5,732,514",,,
Western Australia,Shire of Derby-West Kimberley,2019-20,"$2,890,667","$5,664,937",,,
Western Australia,Shire of Derby-West Kimberley,2020-21,"$2,678,287","$5,751,834",,,
Western Australia,Shire of Derby-West Kimberley,2021-22,"$3,048,935","$6,098,646",,,
Western Australia,Shire of Derby-West Kimberley,2022-23,"$4,402,913","$6,853,710",,,
Western Australia,Shire of Derby-West Kimberley,2023-24,"$7,340,336","$7,648,341",,,
Western Australia,Shire of Donnybrook-Balingup,2017-18,"$992,763","$1,941,752",,,
Western Australia,Shire of Donnybrook-Balingup,2018-19,"$1,005,029","$2,842,079",,,
Western Australia,Shire of Donnybrook-Balingup,2019-20,"$1,047,559","$2,010,723",,,
Western Australia,Shire of Donnybrook-Balingup,2020-21,"$1,066,709","$2,463,702",,,
Western Australia,Shire of Donnybrook-Balingup,2021-22,"$1,084,258","$2,135,693",,,
Western Australia,Shire of Donnybrook-Balingup,2022-23,"$1,571,428","$2,143,846",,,
Western Australia,Shire of Donnybrook-Balingup,2023-24,"$2,837,021","$2,940,273",,,
Western Australia,Shire of Dowerin,2017-18,"$723,087","$1,366,384",,,
Western Australia,Shire of Dowerin,2018-19,"$734,182","$1,431,982",,,
Western Australia,Shire of Dowerin,2019-20,"$760,860","$1,482,947",,,
Western Australia,Shire of Dowerin,2020-21,"$806,061","$1,496,123",,,
Western Australia,Shire of Dowerin,2021-22,"$785,535","$1,524,087",,,
Western Australia,Shire of Dowerin,2022-23,"$1,212,429","$1,632,214",,,
Western Australia,Shire of Dowerin,2023-24,"$1,736,339","$1,814,890",,,
Western Australia,Shire of Dumbleyung,2017-18,"$797,930","$1,523,180",,,
Western Australia,Shire of Dumbleyung,2018-19,"$817,533","$1,628,816",,,
Western Australia,Shire of Dumbleyung,2019-20,"$885,714","$1,691,938",,,
Western Australia,Shire of Dumbleyung,2020-21,"$895,956","$1,713,623",,,
Western Australia,Shire of Dumbleyung,2021-22,"$933,937","$1,813,181",,,
Western Australia,Shire of Dumbleyung,2022-23,"$1,430,337","$1,980,613",,,
Western Australia,Shire of Dumbleyung,2023-24,"$2,109,075","$2,204,135",,,
Western Australia,Shire of Dundas,2017-18,"$778,075","$1,439,764",,,
Western Australia,Shire of Dundas,2018-19,"$767,839","$1,502,508",,,
Western Australia,Shire of Dundas,2019-20,"$787,984","$1,453,638",,,
Western Australia,Shire of Dundas,2020-21,"$729,516","$1,464,302",,,
Western Australia,Shire of Dundas,2021-22,"$823,064","$1,473,419",,,
Western Australia,Shire of Dundas,2022-23,"$1,050,422","$1,656,646",,,
Western Australia,Shire of Dundas,2023-24,"$1,766,218","$1,845,204",,,
Western Australia,Shire of East Pilbara,2017-18,"$2,376,780","$4,719,226",,,
Western Australia,Shire of East Pilbara,2018-19,"$2,214,248","$4,876,246",,,
Western Australia,Shire of East Pilbara,2019-20,"$2,225,640","$4,875,964",,,
Western Australia,Shire of East Pilbara,2020-21,"$2,218,239","$4,903,374",,,
Western Australia,Shire of East Pilbara,2021-22,"$2,291,339","$5,165,005",,,
Western Australia,Shire of East Pilbara,2022-23,"$3,444,104","$6,101,111",,,
Western Australia,Shire of East Pilbara,2023-24,"$6,583,757","$6,839,467",,,
Western Australia,Shire of Esperance,2017-18,"$2,602,008","$4,896,960",,,
Western Australia,Shire of Esperance,2018-19,"$2,660,528","$5,121,158",,,
Western Australia,Shire of Esperance,2019-20,"$2,762,203","$5,377,566",,,
Western Australia,Shire of Esperance,2020-21,"$2,997,491","$5,597,609",,,
Western Australia,Shire of Esperance,2021-22,"$3,048,177","$6,398,547",,,
Western Australia,Shire of Esperance,2022-23,"$5,549,044","$7,131,801",,,
Western Australia,Shire of Esperance,2023-24,"$7,607,752","$7,950,670",,,
Western Australia,Shire of Exmouth,2017-18,"$993,202","$1,846,549",,,
Western Australia,Shire of Exmouth,2018-19,"$982,735","$1,899,869",,,
Western Australia,Shire of Exmouth,2019-20,"$975,073","$1,830,069",,,
Western Australia,Shire of Exmouth,2020-21,"$932,084","$1,843,968",,,
Western Australia,Shire of Exmouth,2021-22,"$1,011,526","$1,850,006",,,
Western Australia,Shire of Exmouth,2022-23,"$1,349,140","$1,911,879",,,
Western Australia,Shire of Exmouth,2023-24,"$2,027,715","$2,118,026",,,
Western Australia,Shire of Gingin,2017-18,"$913,393","$1,700,869",,,
Western Australia,Shire of Gingin,2018-19,"$920,045","$1,750,078",,,
Western Australia,Shire of Gingin,2019-20,"$922,376","$1,758,548",,,
Western Australia,Shire of Gingin,2020-21,"$956,414","$1,771,715",,,
Western Australia,Shire of Gingin,2021-22,"$945,367","$1,874,948",,,
Western Australia,Shire of Gingin,2022-23,"$1,550,978","$2,431,727",,,
Western Australia,Shire of Gingin,2023-24,"$2,220,388","$2,322,173",,,
Western Australia,Shire of Gnowangerup,2017-18,"$680,269","$1,292,811",,,
Western Australia,Shire of Gnowangerup,2018-19,"$697,647","$1,355,714",,,
Western Australia,Shire of Gnowangerup,2019-20,"$725,797","$1,443,915",,,
Western Australia,Shire of Gnowangerup,2020-21,"$813,516","$1,468,153",,,
Western Australia,Shire of Gnowangerup,2021-22,"$752,332","$1,646,193",,,
Western Australia,Shire of Gnowangerup,2022-23,"$1,471,741","$1,828,131",,,
Western Australia,Shire of Gnowangerup,2023-24,"$1,949,040","$2,035,912",,,
Western Australia,Shire of Goomalling,2017-18,"$381,535","$718,104",,,
Western Australia,Shire of Goomalling,2018-19,"$388,444","$753,810",,,
Western Australia,Shire of Goomalling,2019-20,"$405,464","$792,423",,,
Western Australia,Shire of Goomalling,2020-21,"$438,454","$813,900",,,
Western Australia,Shire of Goomalling,2021-22,"$433,973","$1,037,149",,,
Western Australia,Shire of Goomalling,2022-23,"$744,056","$1,224,314",,,
Western Australia,Shire of Goomalling,2023-24,"$1,045,153","$1,092,904",,,
Western Australia,Shire of Halls Creek,2017-18,"$2,210,562","$4,384,724",,,
Western Australia,Shire of Halls Creek,2018-19,"$2,203,249","$4,613,804",,,
Western Australia,Shire of Halls Creek,2019-20,"$2,188,286","$4,466,671",,,
Western Australia,Shire of Halls Creek,2020-21,"$2,190,638","$4,593,939",,,
Western Australia,Shire of Halls Creek,2021-22,"$2,276,208","$4,537,671",,,
Western Australia,Shire of Halls Creek,2022-23,"$3,169,358","$4,950,460",,,
Western Australia,Shire of Halls Creek,2023-24,"$5,060,977","$5,273,221",,,
Western Australia,Shire of Harvey,2017-18,"$1,360,592","$3,272,423",,,
Western Australia,Shire of Harvey,2018-19,"$1,391,581","$2,887,915",,,
Western Australia,Shire of Harvey,2019-20,"$1,450,397","$2,864,870",,,
Western Australia,Shire of Harvey,2020-21,"$1,572,526","$3,255,250",,,
Western Australia,Shire of Harvey,2021-22,"$1,559,903","$3,375,742",,,
Western Australia,Shire of Harvey,2022-23,"$2,938,858","$4,044,416",,,
Western Australia,Shire of Harvey,2023-24,"$4,036,626","$4,216,870",,,
Western Australia,Shire of Irwin,2017-18,"$285,390","$503,242",,,
Western Australia,Shire of Irwin,2018-19,"$275,411","$520,086",,,
Western Australia,Shire of Irwin,2019-20,"$278,898","$538,039",,,
Western Australia,Shire of Irwin,2020-21,"$301,398","$551,360",,,
Western Australia,Shire of Irwin,2021-22,"$296,597","$690,224",,,
Western Australia,Shire of Irwin,2022-23,"$650,718","$761,997",,,
Western Australia,Shire of Irwin,2023-24,"$812,512","$850,337",,,
